pr_name,pr_code,dc_name,dc_code,mn_name,mn_code,mp_name,mp_code,sp_name,sp_code,sa_code,pop_size,pop_curr,pop_curr_approx,lz_code,lz_name,lz_abbrev,lz
'Limpopo',9,'Capricorn',935,'Molemole',973,'Tshitale',973014,'Tshitale SP',973014001,9730211,654,692,692,59201,'Lowveld open access mixed farming','ZALCM','59201: Lowveld open access mixed farming (ZALCM)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Dennilton',984063,'Dennilton SP',984063001,9840067,423,462,462,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Dennilton',984063,'Dennilton SP',984063001,9840269,627,685,685,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Dennilton',984063,'Dennilton SP',984063001,9840321,675,737,737,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Dennilton',984063,'Dennilton SP',984063001,9840329,684,747,747,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Dithabaneng',984070,'Dithabaneng SP',984070001,9840007,87,95,95,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Ditshego',984059,'Ditshego SP',984059001,9840214,582,636,636,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Ditshego',984059,'Ditshego SP',984059001,9840250,618,675,675,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Elandsdoorn',984069,'Elandsdoorn SP',984069001,9840002,15,16,16,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Elandsdoring',984065,'Elandsdoring F',984065002,9840174,558,609,609,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Elias Motsoaledi NU',984002,'Elias Motsoaledi NU',984002002,9840001,12,13,13,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Five Morgan',984054,'Five Morgan SP',984054001,9840333,684,747,747,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'GaMatlala',984042,'GaMatlala SP',984042001,9840402,822,898,898,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgapamadi',984039,'Kgapamadi SP',984039001,9840020,267,291,291,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840035,360,393,393,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840071,432,472,472,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840074,441,482,482,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840127,504,550,550,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840141,522,570,570,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840168,549,600,600,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840177,558,609,609,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840182,561,613,613,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840201,576,629,629,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840213,585,639,639,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840243,609,665,665,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840266,624,682,682,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840296,651,711,711,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840313,663,724,724,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840339,696,760,760,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kgobokwane',984038,'Kgobokwane SP',984038001,9840342,708,773,773,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840055,408,445,445,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840075,441,482,482,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840109,492,537,537,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840145,522,570,570,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840173,555,606,606,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840183,564,616,616,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840190,567,619,619,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840199,573,626,626,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840338,687,750,750,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Kikvorschfontein',984061,'Kikvorschfontein SP',984061001,9840345,708,773,773,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Lehwelere',984041,'Lehwelere SP',984041001,9840028,336,367,367,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Lehwelere',984041,'Lehwelere SP',984041001,9840133,510,557,557,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Lehwelere',984041,'Lehwelere SP',984041001,9840166,546,596,596,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Lehwelere',984041,'Lehwelere SP',984041001,9840202,576,629,629,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Lehwelere',984041,'Lehwelere SP',984041001,9840354,720,787,787,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Lusaka',984053,'Lusaka SP',984053001,9840389,789,862,862,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Magakadimeng',984052,'Magakadimeng SP',984052001,9840083,453,495,495,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Magakadimeng',984052,'Magakadimeng SP',984052001,9840147,525,573,573,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Magakadimeng',984052,'Magakadimeng SP',984052001,9840154,531,580,580,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Magakadimeng',984052,'Magakadimeng SP',984052001,9840179,558,609,609,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Magakadimeng',984052,'Magakadimeng SP',984052001,9840276,636,695,695,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Mogomane',984050,'Mogomane SP',984050001,9840040,381,416,416,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Moteti',984056,'Moteti B',984056001,9840047,393,429,429,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
'Limpopo',9,'Greater Sekhukhune',947,'Elias Motsoaledi',984,'Moteti',984056,'Moteti B',984056001,9840051,396,432,432,59205,'Highveld open access mixed income','ZAHMI','59205: Highveld open access mixed income (ZAHMI)'
